Sample name,1ug for PolyA sequencing,500ng for Non Selected Sequencing,Size Fraction,Expt,Timepoint,Treatment,Rep
REXP1_LFeA,36ul,18ul,3um,REXP1,96,LFe,A
MS99,9ul,5ul,0.2um,REXP1,96,LFe,A
MS98,51ul,26ul,3um,REXP2,96,Ctrl,A
MS97,39ul,20ul,3um,REXP3,96,HiNP,A
MS95,36ul,18ul,0.2um,REXP1,96,NPFe,A
MS94,23ul,12ul,3um,REXP1,96,NPFe,A
MS87,25ul,13ul,0.2um,REXP2,96,NP,B
MS85,10ul,5ul,3um,REXP1,96,NPFe,B
MS84,14ul,7ul,3um,REXP2,96,Ctrl,B
MS83,10ul,5ul,3um,REXP1,96,HFe,A
MS80,11ul,6ul,0.2um,REXP1,96,NPFe,C
MS79,31ul,16ul,0.2um,REXP3,96,LoNP,B
MS78,10ul,5ul,0.2um,REXP2,96,NP,C
MS77,11ul,6ul,0.2um,REXP1,96,HFe,B
MS76,20ul,10ul,3um,REXP2,96,NP,C
MS75,41ul,21ul,3um,REXP2,0,Ctrl,B
MS70,9ul,5ul,0.2um,REXP2,96,NP,A
MS69,42ul,21ul,0.2um,REXP3,96,LoNP,C
MS68,61ul,31ul,3um,REXP3,96,LoNP,B
MS67,54ul,28ul,0.2um,REXP3,96,Ctrl,B
MS66,60ul,31ul,3um,REXP3,96,LoNP,C
MS65,11ul,6ul,3um,REXP2,96,NP,A
MS62,8ul,4ul,0.2um,REXP2,96,NPFe,A
MS61,35ul,17ul,0.2um,REXP2,96,Fe,B
MS60,13ul,7ul,0.2um,REXP1,96,HFe,C
MS59,15ul,7ul,0.2um,REXP2,96,Fe,C
MS58,55ul,27ul,3um,REXP2,96,Fe,B
MS57,9ul,5ul,0.2um,REXP1,96,HFe,A
MS52,46ul,23ul,0.2um,REXP3,96,Ctrl,A
MS51,8ul,4ul,0.2um,REXP1,96,NPFe,B
MS50,22ul,11ul,3um,REXP1,0,Ctrl,C
MS49,40ul,20ul,3um,REXP2,0,Ctrl,A
MS48,57ul,29ul,3um,REXP2,96,Fe,A
MS47,29ul,15ul,3um,REXP3,96,HiNP,B
MS44,32ul,16ul,0.2um,REXP3,96,NPFe,B
MS43,9ul,5ul,0.2um,REXP1,96,LFe,B
MS42,32ul,16ul,0.2um,REXP3,96,HiNP,A
MS41,7ul,4ul,3um,REXP2,96,NPFe,B
MS38,14ul,7ul,0.2um,REXP3,96,NPFe,A
MS37,14ul,7ul,0.2um,REXP2,0,Ctrl,C
MS36,23ul,12ul,3um,REXP1,96,NPFe,C
MS35,33ul,17ul,3um,REXP3,96,NPFe,A
MS32,12ul,6ul,0.2um,REXP1,96,Ctrl,B
MS31,14ul,7ul,0.2um,REXP2,96,Ctrl,A
MS30,29ul,15ul,3um,REXP3,96,HiNP,C
MS29,6ul,3ul,3um,REXP2,96,NPFe,A
MS26,44ul,22ul,0.2um,REXP3,96,LoNP,A
MS25,52ul,26ul,0.2um,REXP2,96,Fe,A
MS24,49ul,25ul,3um,REXP1,96,HFe,C
MS20,8ul,4ul,0.2um,REXP2,96,Ctrl,C
MS19,27ul,14ul,0.2um,REXP2,0,Ctrl,A
MS18,35ul,18ul,3um,REXP2,96,Ctrl,C
MS17,65ul (950ng),35ul,3um,REXP3,96,LoNP,A
MS14,10ul,5ul,0.2um,REXP3,96,HiNP,B
MS13,8ul,4ul,0.2um,REXP2,96,Ctrl,B
MS12,9ul,4.5ul,0.2um,REXP3,96,HiNP,C
MS119,7ul,4ul,3um,REXP1,96,HFe,B
MS118,21ul,11ul,3um,REXP2,96,NP,B
MS117,13ul,7ul,3um,REXP1,96,LFe,C
MS116,30ul,15ul,3um,REXP3,96,NPFe,C
MS115,65ul (960ng),35ul,3um,REXP2,96,Fe,C
MS114,18ul,9ul,3um,REXP1,0,Ctrl,A
MS113,100ul (all 829ng) No Non Selected Sequencing,na,3um,REXP3,96,Ctrl,C
MS112,16ul,8ul,0.2um,REXP1,0,Ctrl,B
MS111,15ul,8ul,3um,REXP1,96,LFe,B
MS110,20ul,10ul,0.2um,REXP1,0,Ctrl,C
MS11,10ul,5ul,0.2um,REXP2,96,NPFe,C
MS109,100ul (all 410ng) No Non Selected Sequencing,na,3um,REXP3,96,Ctrl,A
MS108,7ul,4ul,3um,REXP2,96,NPFe,C
MS107,22ul,11ul,0.2um,REXP1,0,Ctrl,A
MS106,7ul,4ul,3um,REXP1,0,Ctrl,B
MS105,45ul,23ul,3um,REXP1,96,Ctrl,C
MS104,30ul,15ul,0.2um,REXP3,96,NPFe,C
MS103,46.5ul (436ng) ,53.5ul,3um,REXP3,96,Ctrl,B
MS102,33ul,17ul,0.2um,REXP1,96,Ctrl,C
MS101,56ul,28ul,0.2um,REXP1,96,Ctrl,A
MS100,61ul,31ul,3um,REXP3,96,NPFe,B
MS10,51ul,26ul,3um,REXP1,96,Ctrl,B
MS09,41ul,20ul,0.2um,REXP1,96,LFe,C
MS04,100ul (all 700ng) No Non Selected Sequencing,na,3um,REXP2,0,Ctrl,C
MS02,14ul,7ul,0.2um,REXP2,96,NPFe,B
MS01,26ul,13ul,0.2um,REXP2,0,Ctrl,B