SampleID,Cruise,Station,Filter,Replicate,Depth,DatetimeHST,Latitude,Longitude,Experiment,Treatment,TimepointHr,SequencingID
REXP1_LFeA,MGL1704,7,3um,A,15,6/7/2017 14:16,41.42,-158,REXP1,LFe,96,327882
MS01,MGL1704,11,0.2um,B,15,6/6/2017 10:42,37,-158,REXP2,Ctrl,0,327883
MS02,MGL1704,11,0.2um,B,15,6/9/2917 10:04,37,-158,REXP2,NPFe,96,327884
MS04,MGL1704,11,3um,C,15,6/6/2017 10:36,37,-158,REXP2,Ctrl,0,327885
MS09,MGL1704,7,0.2um,C,15,6/7/2017 18:26,41.42,-158,REXP1,LFe,96,327886
MS10,MGL1704,7,3um,B,15,6/7/2017 15:48,41.42,-158,REXP1,Ctrl,96,327887
MS11,MGL1704,11,0.2um,C,15,6/9/2917 11:35,37,-158,REXP2,NPFe,96,327888
MS12,MGL1704,16,0.2um,C,15,6/12/2017 14:54,32.93,-158,REXP3,HiNP,96,327889
MS13,MGL1704,11,0.2um,B,15,6/9/2917 10:08,37,-158,REXP2,Ctrl,96,327890
MS14,MGL1704,16,0.2um,B,15,6/12/2017 13:05,32.93,-158,REXP3,HiNP,96,327891
MS17,MGL1704,16,3um,A,15,6/12/2017 10:51,32.93,-158,REXP3,LoNP,96,327892
MS18,MGL1704,11,3um,C,15,6/9/2917 11:31,37,-158,REXP2,Ctrl,96,327893
MS19,MGL1704,11,0.2um,A,15,6/6/2017 10:36,37,-158,REXP2,Ctrl,0,327894
MS20,MGL1704,11,0.2um,C,15,6/9/2917 11:31,37,-158,REXP2,Ctrl,96,327895
MS24,MGL1704,7,3um,C,15,6/7/2017 18:18,41.42,-158,REXP1,HFe,96,327896
MS25,MGL1704,11,0.2um,A,15,6/9/2917 8:36,37,-158,REXP2,Fe,96,327897
MS26,MGL1704,16,0.2um,A,15,6/12/2017 10:51,32.93,-158,REXP3,LoNP,96,327898
MS29,MGL1704,11,3um,A,15,6/9/2917 8:32,37,-158,REXP2,NPFe,96,327899
MS30,MGL1704,16,3um,C,15,6/12/2017 14:54,32.93,-158,REXP3,HiNP,96,327900
MS31,MGL1704,11,0.2um,A,15,6/9/2917 8:29,37,-158,REXP2,Ctrl,96,327901
MS32,MGL1704,7,0.2um,B,15,6/7/2017 15:48,41.42,-158,REXP1,Ctrl,96,327902
MS35,MGL1704,16,3um,A,15,6/12/2017 10:45,32.93,-158,REXP3,NPFe,96,327903
MS36,MGL1704,7,3um,C,15,6/7/2017 18:12,41.42,-158,REXP1,NPFe,96,327904
MS37,MGL1704,11,0.2um,C,15,6/6/2017 10:36,37,-158,REXP2,Ctrl,0,327905
MS38,MGL1704,16,0.2um,A,15,6/12/2017 10:45,32.93,-158,REXP3,NPFe,96,327906
MS41,MGL1704,11,3um,B,15,6/9/2917 10:04,37,-158,REXP2,NPFe,96,327907
MS42,MGL1704,16,0.2um,A,15,6/12/2017 11:01,32.93,-158,REXP3,HiNP,96,327908
MS43,MGL1704,7,0.2um,B,15,6/7/2017 15:52,41.42,-158,REXP1,LFe,96,327909
MS44,MGL1704,16,0.2um,B,15,6/12/2017 13:09,32.93,-158,REXP3,NPFe,96,327910
MS47,MGL1704,16,3um,B,15,6/12/2017 13:05,32.93,-158,REXP3,HiNP,96,327911
MS48,MGL1704,11,3um,A,15,6/9/2917 8:36,37,-158,REXP2,Fe,96,327912
MS49,MGL1704,11,3um,A,15,6/6/2017 10:36,37,-158,REXP2,Ctrl,0,327913
MS50,MGL1704,7,3um,C,15,6/3/2017 15:00,41.42,-158,REXP1,Ctrl,0,327914
MS51,MGL1704,7,0.2um,B,15,6/7/2017 15:50,41.42,-158,REXP1,NPFe,96,327915
MS52,MGL1704,16,0.2um,A,15,6/12/2017 10:56,32.93,-158,REXP3,Ctrl,96,327916
MS57,MGL1704,7,0.2um,A,15,6/7/2017 14:20,41.42,-158,REXP1,HFe,96,327917
MS58,MGL1704,11,3um,B,15,6/9/2917 9:57,37,-158,REXP2,Fe,96,327918
MS59,MGL1704,11,0.2um,C,15,6/9/2917 11:42,37,-158,REXP2,Fe,96,327919
MS60,MGL1704,7,0.2um,C,15,6/7/2017 18:18,41.42,-158,REXP1,HFe,96,327920
MS61,MGL1704,11,0.2um,B,15,6/9/2917 9:57,37,-158,REXP2,Fe,96,327921
MS62,MGL1704,11,0.2um,A,15,6/9/2917 8:32,37,-158,REXP2,NPFe,96,327922
MS65,MGL1704,11,3um,A,15,6/9/2917 8:40,37,-158,REXP2,NP,96,327923
MS66,MGL1704,16,3um,C,15,6/12/2017 14:58,32.93,-158,REXP3,LoNP,96,327924
MS67,MGL1704,16,0.2um,B,15,6/12/2017 13:00,32.93,-158,REXP3,Ctrl,96,327925
MS68,MGL1704,16,3um,B,15,6/12/2017 12:57,32.93,-158,REXP3,LoNP,96,327926
MS69,MGL1704,16,0.2um,C,15,6/12/2017 14:58,32.93,-158,REXP3,LoNP,96,327927
MS70,MGL1704,11,0.2um,A,15,6/9/2917 8:40,37,-158,REXP2,NP,96,327928
MS75,MGL1704,11,3um,B,15,6/6/2017 10:42,37,-158,REXP2,Ctrl,0,327929
MS76,MGL1704,11,3um,C,15,6/9/2917 11:26,37,-158,REXP2,NP,96,327930
MS77,MGL1704,7,0.2um,B,15,6/7/2017 15:57,41.42,-158,REXP1,HFe,96,327931
MS78,MGL1704,11,0.2um,C,15,6/9/2917 11:26,37,-158,REXP2,NP,96,327932
MS79,MGL1704,16,0.2um,B,15,6/12/2017 12:57,32.93,-158,REXP3,LoNP,96,327933
MS80,MGL1704,7,0.2um,C,15,6/7/2017 18:12,41.42,-158,REXP1,NPFe,96,327934
MS83,MGL1704,7,3um,A,15,6/7/2017 14:20,41.42,-158,REXP1,HFe,96,327935
MS84,MGL1704,11,3um,B,15,6/9/2917 10:08,37,-158,REXP2,Ctrl,96,327936
MS85,MGL1704,7,3um,B,15,6/7/2017 15:50,41.42,-158,REXP1,NPFe,96,327937
MS87,MGL1704,11,0.2um,B,15,6/9/2917 10:01,37,-158,REXP2,NP,96,327938
MS94,MGL1704,7,3um,A,15,6/7/2017 14:16,41.42,-158,REXP1,NPFe,96,327939
MS95,MGL1704,7,0.2um,A,15,6/7/2017 14:16,41.42,-158,REXP1,NPFe,96,327940
MS97,MGL1704,16,3um,A,15,6/12/2017 11:01,32.93,-158,REXP3,HiNP,96,327941
MS98,MGL1704,11,3um,A,15,6/9/2917 8:29,37,-158,REXP2,Ctrl,96,327942
MS99,MGL1704,7,0.2um,A,15,6/7/2017 14:16,41.42,-158,REXP1,LFe,96,327943
MS100,MGL1704,16,3um,B,15,6/12/2017 13:09,32.93,-158,REXP3,NPFe,96,327944
MS101,MGL1704,7,0.2um,A,15,6/7/2017 14:25,41.42,-158,REXP1,Ctrl,96,327945
MS102,MGL1704,7,0.2um,C,15,6/7/2017 ,41.42,-158,REXP1,Ctrl,96,327946
MS103,MGL1704,16,3um,B,15,6/12/2017 13:00,32.93,-158,REXP3,Ctrl,96,327947
MS104,MGL1704,16,0.2um,C,15,6/12/2017 15:05,32.93,-158,REXP3,NPFe,96,327948
MS105,MGL1704,7,3um,C,15,6/7/2017 ,41.42,-158,REXP1,Ctrl,96,327949
MS106,MGL1704,7,3um,B,15,6/3/2017 15:00,41.42,-158,REXP1,Ctrl,0,327950
MS107,MGL1704,7,0.2um,A,15,6/3/2017 15:18,41.42,-158,REXP1,Ctrl,0,327951
MS108,MGL1704,11,3um,C,15,6/9/2917 11:35,37,-158,REXP2,NPFe,96,327952
MS109,MGL1704,16,3um,A,15,6/12/2017 10:56,32.93,-158,REXP3,Ctrl,96,327953
MS110,MGL1704,7,0.2um,C,15,6/3/2017 15:21,41.42,-158,REXP1,Ctrl,0,327954
MS111,MGL1704,7,3um,B,15,6/7/2017 15:52,41.42,-158,REXP1,LFe,96,327955
MS112,MGL1704,7,0.2um,B,15,6/3/2017 15:18,41.42,-158,REXP1,Ctrl,0,327956
MS113,MGL1704,16,3um,C,15,6/12/2017 15:00,32.93,-158,REXP3,Ctrl,96,327957
MS114,MGL1704,7,3um,A,15,6/3/2017 15:00,41.42,-158,REXP1,Ctrl,0,327958
MS115,MGL1704,11,3um,C,15,6/9/2917 11:42,37,-158,REXP2,Fe,96,327959
MS116,MGL1704,16,3um,C,15,6/12/2017 15:05,32.93,-158,REXP3,NPFe,96,327960
MS117,MGL1704,7,3um,C,15,6/7/2017 18:26,41.42,-158,REXP1,LFe,96,327961
MS118,MGL1704,11,3um,B,15,6/9/2917 10:01,37,-158,REXP2,NP,96,327962
MS119,MGL1704,7,3um,B,15,6/7/2017 15:57,41.42,-158,REXP1,HFe,96,327963
